computed_at,domain,series_id,series_label,latest_period,latest_value,latest_change,prior_change_mean,prior_change_std,z_score,is_anomaly,n_prior_changes
2026-09-07T13:06:59Z,macro,SWZ:NY.GDP.PCAP.KD.ZG,SWZ — GDP per capita growth (annual %),2025,3.08642991125257,1.07581834297175,-0.086216,4.205145,0.276,False,14
2026-09-07T13:06:59Z,macro,SWZ:SL.UEM.TOTL.ZS,"SWZ — Unemployment, total (% of total labor force)",2025,34.202,-0.4410000000000025,0.556214,1.788062,-0.558,False,14
2026-09-07T13:06:59Z,macro,SWZ:SP.POP.TOTL,"SWZ — Population, total",2025,1256174.0,13352.0,9369.428571,2987.068867,1.333,False,14
2026-09-07T13:06:59Z,macro,SWZ:TX.VAL.MANF.ZS.UN,SWZ — Manufactured exports (% of merchandise exports),2023,59.8243153083819,-3.5536492090155036,-0.172302,5.320174,-0.636,False,12
2026-09-07T13:06:59Z,macro,ZAF:BN.CAB.XOKA.GD.ZS,ZAF — Current account balance (% of GDP),2025,-0.422766754018983,0.22003304305606697,0.046873,2.035869,0.085,False,14
2026-09-07T13:06:59Z,macro,ZAF:BX.KLT.DINV.WD.GD.ZS,"ZAF — FDI, net inflows (% of GDP)",2025,-0.505823116244258,-1.086714825917324,-0.021715,3.241955,-0.329,False,14
2026-09-07T13:06:59Z,macro,ZAF:BX.TRF.PWKR.CD.DT,"ZAF — Personal remittances, received (current US$)",2025,1004741847.38267,149367176.26132202,-15299764.963594,82112614.914647,2.005,True,14
2026-09-07T13:06:59Z,macro,ZAF:BX.TRF.PWKR.DT.GD.ZS,"ZAF — Personal remittances, received (% of GDP)",2025,0.235201009549448,0.02196772119002499,-0.003074,0.006545,3.826,True,14
2026-09-07T13:06:59Z,macro,ZAF:NE.EXP.GNFS.ZS,ZAF — Exports of goods and services (% of GDP),2025,31.4101947337253,-0.3817123309049997,0.429178,1.438417,-0.564,False,14
2026-09-07T13:06:59Z,macro,ZAF:NE.IMP.GNFS.ZS,ZAF — Imports of goods and services (% of GDP),2025,29.5009024056375,-0.3539610027571989,0.373728,2.50205,-0.291,False,14
2026-09-07T13:06:59Z,macro,ZAF:NE.RSB.GNFS.ZS,ZAF — External balance on goods and services (% of GDP),2025,1.90929232808787,-0.027751328147719967,0.05545,1.911036,-0.044,False,14
2026-09-07T13:06:59Z,macro,ZAF:NV.IND.MANF.ZS,"ZAF — Manufacturing, value added (% of GDP)",2025,12.2545108718651,-0.5427900942789989,-0.075877,0.404813,-1.153,False,14
2026-09-07T13:06:59Z,macro,ZAF:NV.IND.TOTL.ZS,"ZAF — Industry (incl. construction), value added (% of GDP)",2025,24.09000977459,-0.2205211142916994,-0.070924,0.517821,-0.289,False,14
2026-09-07T13:06:59Z,macro,ZAF:NY.GDP.PCAP.CD,ZAF — GDP per capita (current US$),2025,6597.71450918774,330.52769509474,-121.87751,687.30217,0.658,False,14
2026-09-07T13:06:59Z,macro,ZAF:NY.GDP.PCAP.KD.ZG,ZAF — GDP per capita growth (annual %),2025,-0.0412236373188222,0.6723144421049199,-0.181542,3.638588,0.235,False,14
2026-09-07T13:06:59Z,macro,ZAF:SL.UEM.TOTL.ZS,"ZAF — Unemployment, total (% of total labor force)",2025,32.391,0.11199999999999477,0.542571,1.41892,-0.303,False,14
