pulled_at,country,country_code,indicator_code,indicator_name,outcome_link,year,value
2026-09-03T12:26:23Z,Namibia,NAM,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2010,-3.92244710726353
2026-09-03T12:26:23Z,Eswatini,SWZ,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2024,1.6121572847945
2026-09-03T12:26:23Z,Eswatini,SWZ,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2023,2.1357603698575
2026-09-03T12:26:23Z,Eswatini,SWZ,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2022,-2.96992116038183
2026-09-03T12:26:23Z,Eswatini,SWZ,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2021,2.60694672482633
2026-09-03T12:26:23Z,Eswatini,SWZ,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2020,6.55291656984156
2026-09-03T12:26:23Z,Eswatini,SWZ,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2019,3.81510661336773
2026-09-03T12:26:23Z,Eswatini,SWZ,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2018,1.30781570062784
2026-09-03T12:26:23Z,Eswatini,SWZ,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2017,6.1129365155531
2026-09-03T12:26:23Z,Eswatini,SWZ,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2016,7.9902465271262
2026-09-03T12:26:23Z,Eswatini,SWZ,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Diagnosis Ch.1.3 — balance-of-payments constraint,2015,13.6462188835414
